"phylum","subphylum","class","subclass","order","family","genus","species","infraclass","suborder","infraorder","sciName"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus polyacanthocephalus","Teleostei","Cottoidei",NA,"Myoxocephalus polyacanthocephalus"
"Mollusca",NA,"Bivalvia","Pteriomorphia","Mytiloida","Mytilidae",NA,NA,NA,NA,NA,"Mytilidae"
"Mollusca",NA,"Bivalvia","Pteriomorphia","Mytiloida","Mytilidae","Mytilus",NA,NA,NA,NA,"Mytilus"
"Mollusca",NA,"Bivalvia","Pteriomorphia","Mytiloida","Mytilidae","Mytilus","Mytilus edulis",NA,NA,NA,"Mytilus edulis"
"Mollusca",NA,"Gastropoda",NA,"Neotaenioglossa","Naticidae","Natica",NA,NA,NA,NA,"Natica"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Hemitripteridae","Nautichthys","Nautichthys oculofasciatus","Teleostei","Cottoidei",NA,"Nautichthys oculofasciatus"
"Mollusca",NA,"Gastropoda","Prosobranchia","Neogastropoda","Buccinidae","Neptunea",NA,NA,NA,NA,"Neptunea"
"Mollusca",NA,"Gastropoda","Prosobranchia","Neogastropoda","Buccinidae","Neptunea","Neptunea lyrata",NA,NA,NA,"Neptunea lyrata"
"Mollusca",NA,"Gastropoda","Prosobranchia","Neogastropoda","Buccinidae","Neptunea","Neptunea pribiloffensis",NA,NA,NA,"Neptunea pribiloffensis"
"Annelida","Polychaeta","Errantia","Aciculata","Phyllodocida","Nereididae","Nereis",NA,NA,NA,NA,"Nereis"
"Annelida","Clitellata","Hirudinea","Hirudinea","Rhynchobdellida","Piscicolidae","Notostomum","Notostomum cyclostomum","Euhirudinea",NA,NA,"Notostomum cyclostomum"
"Mollusca",NA,"Bivalvia","Protobranchia","Nuculoida","Nuculanidae","Nuculana",NA,NA,NA,NA,"Nuculana"
"Mollusca",NA,"Gastropoda","Opisthobranchia","Nudibranchia",NA,NA,NA,NA,NA,NA,"Nudibranchia"
"Chordata","Vertebrata","Actinopterygii","Neopterygii","Scorpaeniformes","Agonidae","Occella","Occella dodecaedron","Teleostei","Cottoidei",NA,"Occella dodecaedron"
